Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator ON_Logo                  0mil          0mil    491.241mil    930.444mil          0mil          0mil  B        270.00 Comment        
R1         R0402             1219.965mil   1787.359mil   1219.965mil   1787.359mil   1203.825mil   1787.359mil  T        180.00 220            
LED1       LED0603           1101.429mil    1801.36mil   1101.429mil    1801.36mil   1071.899mil    1801.36mil  T          0.00 green          
C2         C0402              2123.26mil    2183.86mil    2123.26mil    2183.86mil    2123.26mil    2199.61mil  T        270.00 10nF           
C3         C0402              2160.67mil    2183.86mil    2160.67mil    2183.86mil    2160.67mil    2199.61mil  T        270.00 10nF           
R2         R0402               2164.6mil    2134.65mil     2164.6mil    2134.65mil    2148.46mil    2134.65mil  T        180.00 2.7k           
TP6        PIN-03             2268.93mil    1803.94mil    2268.93mil    1803.94mil    2268.93mil    1803.94mil  T          0.00                
TP7        PIN-03             2316.18mil    1803.94mil    2316.18mil    1803.94mil    2316.18mil    1803.94mil  T          0.00                
TP10       PIN-03             2367.36mil    1803.94mil    2367.36mil    1803.94mil    2367.36mil    1803.94mil  T         95.60                
TP11       PIN-03              2414.6mil    1803.94mil     2414.6mil    1803.94mil     2414.6mil    1803.94mil  T         90.00                
TP12       PIN-03             2426.41mil    1843.31mil    2426.41mil    1843.31mil    2426.41mil    1843.31mil  T          0.00                
R3         R0402              2046.49mil    2260.63mil    2046.49mil    2260.63mil    2030.35mil    2260.63mil  T        180.00 600BEAD        
TP1        PIN-03             2190.19mil    1823.62mil    2190.19mil    1823.62mil    2190.19mil    1823.62mil  T          0.00                
CLF        C0402              2119.33mil    1815.75mil    2119.33mil    1815.75mil    2135.08mil    1815.75mil  T        180.00 39pF           
R6         R0402              2083.89mil    1855.12mil    2083.89mil    1855.12mil    2100.03mil    1855.12mil  T          0.00 12k            
C5         C0402              2048.46mil    1815.75mil    2048.46mil    1815.75mil    2064.21mil    1815.75mil  T        180.00 10nF           
C1         C0402              2312.24mil    2217.32mil    2312.24mil    2217.32mil    2327.99mil    2217.32mil  T        180.00 12pF           
C4         C0402              2390.98mil     2193.7mil    2390.98mil     2193.7mil    2390.98mil    2209.45mil  T        270.00 12pF           
U1         QFN40              2272.87mil    2004.73mil    2272.87mil    2004.73mil    2139.01mil    2073.63mil  T          0.00 SFUSN          
LC3        L0402              2040.59mil    1933.86mil    2040.59mil    1933.86mil    2040.59mil    1917.72mil  T         90.00 18nH           
CT3        C0402              1957.91mil    1949.61mil    1957.91mil    1949.61mil    1942.16mil    1949.61mil  T          0.00 2.2pF          
LT3        L0402              1900.82mil    1949.61mil    1900.82mil    1949.61mil    1916.96mil    1949.61mil  T        180.00 16nH           
C11        C0402              2442.16mil    2134.65mil    2442.16mil    2134.65mil    2442.16mil     2150.4mil  T        270.00 100pF          
CC3        C0402              2005.15mil    1933.86mil    2005.15mil    1933.86mil    2005.15mil    1949.61mil  T        270.00 NC             
LPA4       L0402              1818.15mil    1957.48mil    1818.15mil    1957.48mil   1806.737mil   1968.893mil  T        315.00 NC             
CPA8       C0402              1841.77mil     1981.1mil    1841.77mil     1981.1mil   1830.633mil   1992.237mil  T        315.00 0Ohm           
CPA11      C0402               1845.7mil    1914.18mil     1845.7mil    1914.18mil   1856.837mil   1925.317mil  T        225.00 NC             
LH2        L0402               1414.6mil    2024.41mil     1414.6mil    2024.41mil    1398.46mil    2024.41mil  T          0.00 6.8nH          
LH1        L0402              1355.55mil    2024.41mil    1355.55mil    2024.41mil    1339.41mil    2024.41mil  T          0.00 6.8nH          
CH1        C0402              1341.77mil     1975.2mil    1341.77mil     1975.2mil    1341.77mil    1990.95mil  T        270.00 3pF            
CH3        C0402              1432.32mil     1975.2mil    1432.32mil     1975.2mil    1432.32mil    1990.95mil  T        270.00 3pF            
CH2        C0402              1385.07mil     1975.2mil    1385.07mil     1975.2mil    1385.07mil    1990.95mil  T        270.00 4.3pF          
X3         SAW_1.4X1.1X0.5    1881.14mil    2079.53mil    1881.14mil    2079.53mil    1881.14mil    2102.66mil  T        270.00                
U$2        QFN16_TH          1591.765mil   2022.445mil    1611.45mil     2012.6mil    1650.82mil    1992.91mil  T        180.00                
C6         C0402              1562.24mil    1862.99mil    1562.24mil    1862.99mil    1562.24mil    1878.74mil  T        270.00 10nF           
C7         C0402              1501.22mil    2124.81mil    1501.22mil    2124.81mil    1516.97mil    2124.81mil  T        180.00 10nF           
C8         C0603              1599.64mil    1853.15mil    1599.64mil    1853.15mil    1599.64mil    1878.74mil  T        270.00 4.7uF          
LPA1       L0402              1493.34mil    1979.14mil    1493.34mil    1979.14mil    1493.34mil    1995.28mil  T        270.00 3.3nH          
LPA2       L0402              1566.18mil    2124.81mil    1566.18mil    2124.81mil    1582.32mil    2124.81mil  T        180.00 6.2nH          
R4         R0402              1721.69mil    1862.99mil    1721.69mil    1862.99mil    1705.55mil    1862.99mil  T        180.00 0              
R5         R0402              1721.69mil    1827.56mil    1721.69mil    1827.56mil    1705.55mil    1827.56mil  T        180.00 NC             
CPA10      C0402              1818.15mil    2024.41mil    1818.15mil    2024.41mil   1807.013mil   2013.273mil  T         45.00 NC             
R7         R0402              1745.31mil    2030.32mil    1745.31mil    2030.32mil   1756.723mil   2018.907mil  T        315.00 180            
R8         R0402              1763.03mil    2079.53mil    1763.03mil    2079.53mil   1751.617mil   2068.117mil  T        225.00 68             
R9         R0402              1792.55mil       2050mil    1792.55mil       2050mil   1781.137mil   2038.587mil  T        225.00 68             
R10        R0402              1936.26mil    2203.55mil    1936.26mil    2203.55mil    1936.26mil    2187.41mil  T        270.00 0 Ohm          
R11        R0402              1973.66mil    2170.08mil    1973.66mil    2170.08mil    1973.66mil    2153.94mil  T        270.00 NC             
CH4        C0402              1355.55mil    2055.91mil    1355.55mil    2055.91mil     1339.8mil    2055.91mil  T          0.00 NC             
CH5        C0402               1414.6mil    2055.91mil     1414.6mil    2055.91mil    1398.85mil    2055.91mil  T          0.00 NC             
C9         C0402                 2202mil    2183.86mil       2202mil    2183.86mil       2202mil    2199.61mil  T        270.00 NC             
LED3       LED0603           1101.429mil   1713.357mil   1101.429mil   1713.357mil   1130.959mil   1713.357mil  T        180.00 red            
R24        R0402             1303.243mil   1704.543mil   1303.243mil   1704.543mil   1287.103mil   1704.543mil  T        180.00 220            

